Provinsi;Luas Panen (ha);Produksi (ton)
PAPUA PEGUNUNGAN;14.14;61.63
KEP. RIAU;115.27;324.01
DKI JAKARTA;542.93;2674.28
PAPUA BARAT DAYA;579.83;2396.95
PAPUA;840.18;3760.45
PAPUA TENGAH;2094.2;9273.22
PAPUA BARAT;5006.27;22566.81
KALIMANTAN UTARA;6499.92;23602
MALUKU UTARA;7709.07;26663.23
KEP. BANGKA BELITUNG;15284.56;66468.89
MALUKU;22636.68;79958.34
PAPUA SELATAN;44807.86;183627.83
GORONTALO;49610.47;251431.76
RIAU;51914.14;205972.55
SULAWESI UTARA;54562.95;238193.41
KALIMANTAN TIMUR;57082.01;226972.07
BENGKULU;57877.18;286684.43
SULAWESI BARAT;58606.67;291458.59
JAMBI;61236.64;275941.45
KALIMANTAN TENGAH;101580.3;330781.05
DI YOGYAKARTA;105693.66;534113.69
BALI;108514.06;673580.65
SULAWESI TENGGARA;113930.26;479407.25
SULAWESI TENGAH;177699.03;821367.41
NUSA TENGGARA TIMUR;184698.89;766810.46
KALIMANTAN SELATAN;214283.82;875545.73
KALIMANTAN BARAT;224068.52;700290.8
ACEH;254287.38;1404234.82
NUSA TENGGARA BARAT;287512.14;1538536.92
SUMATERA BARAT;300564.77;1482468.79
BANTEN;311199.73;1686483.29
SUMATERA UTARA;406109.49;2087474.15
SUMATERA SELATAN;504143.03;2832773.92
LAMPUNG;530108.09;2757898.19
SULAWESI SELATAN;967790.21;4876386.11
JAWA BARAT;1583656.28;9140039.2
JAWA TENGAH;1642761.23;9084107.53
JAWA TIMUR;1698083.31;9710661.33
