Propinsi,2021,2022,2023,,,,,,,,,
,,,,,,,,,,,,
,,,,,,55758,54176,34944,,,,
,,,,,,123316,120156,113014,,,,
Aceh,159489,158120,153733,,,67558,65980,78070,,5.202730735,5.198986806,5.186767102
Sumatera Utara,216619,208606,200846,85328,,4.829676784,4.819412311,4.892484179,,5.335696547,5.319326796,5.302863187
Sumatera Barat,123316,120156,115185,84200,,4.829676784,4.819412311,4.892484179,,5.091019429,5.079745462,5.061395927
Riau,99510,97247,93980,72301,4.931091566,4.829676784,,,,4.997866726,4.987876213,4.973035441
Jambi,73054,70299,68021,,4.925312091,4.819412311,,,,4.863644,4.846949147,4.832643012
Sumatera Selatan,126642,123545,118773,,4.859144304,4.892484179,,,,5.102577761,5.091825174,5.074717726
Bengkulu,55758,54176,52418,,,,,,,4.746307188,4.733806936,4.719480446
Lampung,113466,110393,105734,,1.015630976,,,,,5.054865745,5.042941536,5.024214662
Kepulauan Bangka Belitung,32047,32205,31366,,,,,,,4.50578738,4.507923303,4.496459138
Kepulauan Riau,38898,39933,39038,,,,,,,4.589927272,4.601331938,4.59148756
DKI Jakarta,263930,258181,241855,,,,,,,5.421488758,5.411924279,5.38355507
Jawa Barat,361805,344118,327676,,,,,,,5.558474564,5.53670739,5.515444633
Jawa Tengah,367199,354004,336097,,,,,,,5.56490149,5.549008169,5.526464636
D.I. Yogyakarta,69973,67561,65117,,,,,,,4.844930494,4.829696069,4.813694384
Jawa Timur,403754,383805,363512,,,,,,,5.606116838,5.584110628,5.560518752
Banten,88859,87171,85161,,,,,,,4.948701421,4.940372028,4.930240752
Bali,80891,77615,73166,,,,,,,4.907900204,4.889945662,4.864309313
Nusa Tenggara Barat,85470,84200,80890,,,,,,,4.931813704,4.925312091,4.907894835
Nusa Tenggara Timur,118336,117429,113014,,,,,,,5.073116885,5.069775363,5.053132247
Kalimantan Barat,85653,84691,80898,,,,,,,4.932742579,4.927837261,4.907937785
Kalimantan Tengah,72650,72318,69775,,,,,,,4.861235619,4.859246407,4.843699845
Kalimantan Selatan,85328,84236,81306,,,,,,,4.931091566,4.925497736,4.910122596
Kalimantan Timur,76259,75216,72301,,,,,,,4.882291106,4.876310234,4.859144304
Kalimantan Utara,22238,22755,22187,,,,,,,4.347095726,4.35707684,4.346098583
Sulawesi Utara,71540,70926,68313,,,,,,,4.854548936,4.850805468,4.834503358
Sulawesi Tengah,86031,84353,81192,,,,,,,4.934654971,4.926100533,4.909513239
Sulawesi Selatan,189671,185021,178741,,,,,,,5.278000934,5.267221024,5.252224183
Sulawesi Tenggara,83081,82349,80337,,,,,,,4.919501715,4.91565833,4.90491561
Gorontalo,33835,33806,32725,,,,,,,4.529366181,4.528993787,4.514879655
Sulawesi Barat,36284,35990,34944,,,,,,,4.559715158,4.556181847,4.543372617
Maluku,65696,64498,62798,,,,,,,4.817538928,4.809546248,4.797945812
Maluku Utara,46869,47288,46255,,,,,,,4.670885687,4.674750946,4.665158685
Papua Barat,49986,49380,27529,,,,,,,4.698848385,4.693551086,4.439790436
Papua Barat Daya,,,20820,,,,,,,,,4.318480725
Papua,111439,108938,45010,,,,,,,5.047037206,5.037179398,4.653309013
Papua Selatan,,,16335,,,,,,,,,4.213119139
Papua Tengah,,,24377,,,,,,,,,4.386980257
Papua Pegunungan,,,20990,,,,,,,,,4.322012439
Luar Negeri,58,50,13,,,,,,,1.763427994,1.698970004,1.113943352
